end_date,school_cycle,start_date,Holdback students (sum).,Incoming students (sum).,School groups (sum).,Schools (sum).,Teachers (sum).,Total students (sum).,oversight_type,grade_study,geography,schooling_type
2020-06-30,2019-2020,2019-08-01,173.0,116.0,21.0,2.0,31.0,289.0,Private,High school,Aguascalientes,Remote schooling
2020-06-30,2019-2020,2019-08-01,0.0,2068.0,7.0,8.0,32.0,2068.0,Public,High school,Aguascalientes,Remote schooling
2020-06-30,2019-2020,2019-08-01,79.0,17517.0,841.0,102.0,720.0,17596.0,Private,Elementary school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,16.0,7172.0,311.0,62.0,921.0,7188.0,Private,Middle school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,1235.0,10272.0,515.0,106.0,1884.0,11507.0,Private,High school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,776.0,141483.0,4296.0,603.0,4296.0,142259.0,Public,Elementary school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,1003.0,65333.0,2265.0,304.0,4449.0,66336.0,Public,Middle school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,2717.0,44446.0,1521.0,193.0,3816.0,47163.0,Public,High school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,0.0,345.0,8.0,3.0,32.0,345.0,Private,High school,Aguascalientes,Remote schooling
2021-06-30,2020-2021,2020-08-01,0.0,1963.0,0.0,8.0,33.0,1963.0,Public,High school,Aguascalientes,Remote schooling
2021-06-30,2020-2021,2020-08-01,55.0,16013.0,803.0,103.0,719.0,16068.0,Private,Elementary school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,18.0,6770.0,300.0,62.0,845.0,6788.0,Private,Middle school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,750.0,8550.0,453.0,106.0,1553.0,9300.0,Private,High school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,414.0,143747.0,4315.0,607.0,4320.0,144161.0,Public,Elementary school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,829.0,67035.0,2279.0,309.0,4512.0,67864.0,Public,Middle school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,1399.0,45789.0,1501.0,196.0,4230.0,47188.0,Public,High school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,,8981.0,541.0,165.0,521.0,8981.0,Private,Pre-school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,,3720.0,285.0,62.0,119.0,3720.0,Private,Nursery school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,,46553.0,1724.0,502.0,1747.0,46553.0,Public,Pre-school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,,901.0,58.0,10.0,32.0,901.0,Public,Nursery school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,,6320.0,454.0,162.0,456.0,6320.0,Private,Pre-school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,,2500.0,216.0,54.0,83.0,2500.0,Private,Nursery school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,,45526.0,1715.0,500.0,1723.0,45526.0,Public,Pre-school,Aguascalientes,On-site education
2021-06-30,2020-2021,2020-08-01,,599.0,50.0,10.0,36.0,599.0,Public,Nursery school,Aguascalientes,On-site education
2020-06-30,2019-2020,2019-08-01,30.0,117.0,16.0,4.0,28.0,147.0,Private,High school,Baja California,Remote schooling
2020-06-30,2019-2020,2019-08-01,0.0,5819.0,9.0,10.0,109.0,5819.0,Public,High school,Baja California,Remote schooling
2020-06-30,2019-2020,2019-08-01,335.0,51935.0,2419.0,336.0,2148.0,52270.0,Private,Elementary school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,68.0,21063.0,862.0,200.0,2287.0,21131.0,Private,Middle school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,204.0,689.0,55.0,11.0,120.0,893.0,Private,Technical school,Baja California,On-site education
2020-06-30,2019-2020,2019-08-01,5379.0,34807.0,1548.0,229.0,3657.0,40186.0,Private,High school,Baja California,On-site education
